ambiguous_name	resolved_name
ACTA2,FAS	FAS
AQP4-AS1,CHST9	CHST9
ARID1B,LOC115308161	ARID1B
ATM,C11orf65	ATM
BCL10,LOC646626	BCL10
BCL2L1,ABALON	BCL2L1
BIVM,BIVM-ERCC5	ERCC5
BIVM-ERCC5,ERCC5	ERCC5
CALR,MIR6515	CALR
CCND2-AS1,CCND2	CCND2
CDKN1A,DINOL	CDKN1A
CDKN2B-AS1,CDKN2B	CDKN2B
CHEK1,ACRV1	CHEK1
CHURC1-FNTB,FNTB,MAX	MAX
COMETT,MET	MET
CTNNA1,LRRTM2	CTNNA1
CYP2D7,CYP2D6,LOC101929829	CYP2D6
DHFR,MSH3	MSH3
DHX8,ETV4	ETV4
DICER1,MIR3173	DICER1
DOT1L,PLEKHJ1	DOT1L
EED,MIR6755	EED
EGFR,EGFR-AS1	EGFR
EML4-AS1,EML4	EML4
ERBB2,MIR4728	ERBB2
ESR1,SYNE1	ESR1
FAM227B,FGF7	FGF7
FANCD2,FANCD2OS	FANCD2
FANCI,POLG	FANCI
FBXW7,FBXW7-AS1	FBXW7
FGF10,FGF10-AS1	FGF10
FGF14,FGF14-IT1	FGF14
FGF2,NUDT6	FGF2
FIP1L1,LNX1	FIP1L1
FLJ37453,SPEN	SPEN
GATA2,GATA2-AS1	GATA2
GNAS-AS1,GNAS	GNAS
GPSM3,NOTCH4	NOTCH4
H3-3A,H3P6	H3-3A
H3C14,H3C15	H3C15
H3C15,H3C14	H3C14
HLA-B,MIR6891	HLA-B
HNF1A,C12orf43	HNF1A
ICOSLG,LOC102723996	ICOSLG
IDH2,IDH2-DT	IDH2
IGF2,INS-IGF2	IGF2
IKBKE,MIR6769B	IKBKE
IL10,IL19	IL10
INHBA,INHBA-AS1	INHBA
INS-IGF2,INS	INS-IGF2
IRAIN,IGF1R	IGF1R
ITGBL1,FGF14	FGF14
KDM5C,MIR6894	KDM5C
KDM5C,MIR6895	KDM5C
KLC1,XRCC3	XRCC3
KLC3,ERCC2	ERCC2
KMT2A,LOC101929089	KMT2A
LATS1,LOC645967	LATS1
LOC100131635,BCL6	BCL6
LOC101927322,MALT1	MALT1
LOC101927770,ZNF217	ZNF217
LOC105373805,STAT4	STAT4
MAGI2,MAGI2-AS3	MAGI2
MALAT1,TALAM1	MALAT1
MALAT1,TALAM1,MASCRNA	MALAT1
MAP2K1,SNAPC5	MAP2K1
MAP3K14-AS1,MAP3K14	MAP3K14
MAX,LOC100506321	MAX
MDC1,MDC1-AS1	MDC1
MEF2B,BORCS8-MEF2B	MEF2B
MKRN2,RAF1	RAF1
MRPL21,IGHMBP2	MRPL21
MSH5,MSH5-SAPCD1	MSH5
MSH6,FBXO11	MSH6
MTOR,MTOR-AS1	MTOR
MUTYH,TOE1	MUTYH
MYCNOS,MYCN	MYCN
NAV1,IPO9-AS1	NAV1
NKX2-1,NKX2-1-AS1	NKX2-1
NOTCH1,MIR4673	NOTCH1
NOTCH3,MIR6795	NOTCH3
NTHL1,TSC2	TSC2
NTRK1,INSRR	NTRK1
NTRK3,NTRK3-AS1	NTRK3
P3R3URF-PIK3R3,TSPAN1,P3R3URF	P3R3URF-PIK3R3
PAX3,CCDC140	PAX3
PAX8,PAX8-AS1	PAX8
PI4KA,SERPIND1	SERPIND1
PIK3R3,P3R3URF-PIK3R3	PIK3R3
POLR1G,ERCC1	ERCC1
POLR2F,SOX10	SOX10
PPP2R1A,MIR6801	PPP2R1A
PRC1,PRC1-AS1	PRC1
PRKAR1A,FAM20A	PRKAR1A
PRKN,PACRG	PRKN
PTCH1,LOC100507346	PTCH1
PYROXD1,RECQL	RECQL
RAD50,TH2LCRR	RAD50
RAD51L3-RFFL,RAD51D	RAD51D
RAD54L,LRRC41	RAD54L
RARA,RARA-AS1	RARA
RASA1,CCNH	RASA1
RPS6KA4,MIR1237	RPS6KA4
SDCCAG8,AKT3	AKT3
SDHC,CFAP126	SDHC
SENP3-EIF4A1,EIF4A1	EIF4A1
SFTA3,NKX2-1	NKX2-1
SFTA3,NKX2-1,NKX2-1-AS1	NKX2-1
SH2D2A,NTRK1	NTRK1
SHBG,SAT2	SHBG
SMARCB1,GSTTP2	SMARCB1
SMARCB1,GSTTP2,DERL3	SMARCB1
SMC1A,MIR6857	SMC1A
SNAPC3,PSIP1	PSIP1
SNCAIP,MGC32805	SNCAIP
SOX2-OT,SOX2	SOX2
SRSF2,MFSD11	SRSF2
SRSF2,MIR636	SRSF2
STK11,CBARP	STK11
TCAF2,KEL	KEL
TET2,TET2-AS1	TET2
TNFRSF14-AS1,TNFRSF14	TNFRSF14
TOP1,PLCG1-AS1	TOP1
TP53,WRAP53	TP53
TSPAN31,CDK4	CDK4
TSPAN31,CDK4,MIR6759	CDK4
TTC19,NCOR1	NCOR1
U2AF1L5,U2AF1	U2AF1
UGT1A8,UGT1A10,UGT1A9,UGT1A7,UGT1A6,UGT1A5,UGT1A4,UGT1A3,UGT1A1	UGT1A1
VRK2,FANCL	FANCL
ZNF276,FANCA	FANCA
